coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
"101.9387,2.7253",Tue Jul 07 05:55:31 +0000 2020,,,https://www.instagram.com/p/CCVHOwHn1dwfdxg7yYNNyqhFR0FucgOGkfWdjU0/?igshid=hw2y615sax1w,0,1280379900948553730,,,,en,"Bandar Seremban, Negri Sembilan",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Combo pack for kids Reasonable price I guess. RM55 you get Kid’s facemask(50pcs), sanitizing wet wipes and hand sanitizer. @ Seremban (City) https://t.co/oH3E1xBXEy",https://twitter.com/frz76/status/1280379900948553730,Mon Apr 13 09:27:08 +0000 2009,frz76,false,,33,71,320,0,Malaysia,FAK,frz76,744,,,false
"35.97861105,-3.44822292",Tue Jul 07 06:30:25 +0000 2020,safari tanzania glamping tentedcamp isoitok esilalei manyara,,https://www.instagram.com/p/CCVLOL7nJ8R/?igshid=106xomfjud0qp,1,1280388683028455424,,,,en,"Arusha, Tanzania",false,1,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Did you know that glamping has been the style of accommodation for safari since ages? isoitokcamp is ready to receive you and is corona-proof! #safari #tanzania #glamping #tentedcamp #isoitok #esilalei #manyara… https://t.co/pot2uzH4Fu,https://twitter.com/CaracalSafaris/status/1280388683028455424,Wed Jan 30 16:56:59 +0000 2013,CaracalSafaris,false,"We, Bernard and Marion Sumari, will provide you with a great safari experience in Tanzania!",73,205,320,1,"Moshi, Tanzania",Caracal Safaris Tz,CaracalSafaris,518,,http://www.caracalsafaris-tz.com,false
"144.9768599,-37.798",Tue Jul 07 05:36:54 +0000 2020,lockdown lockdown2020,,https://www.instagram.com/p/CCVFGNpHUKV/?igshid=43rqf35kthbc,3,1280375216926076929,,,,en,"Melbourne, Victoria",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Got a few hours up your sleeve? We have 2 new jigsaw puzzles. 90s Icons and Tiger King (unauthorized)
#lockdown #lockdown2020 @ Hares Hyenas https://t.co/JcZVwfbCoL",https://twitter.com/Hares_Hyenas/status/1280375216926076929,Sun Jun 21 04:58:45 +0000 2009,Hares_Hyenas,false,"Queer book, cafe, bar and venue experience call +61 3 9495 6589",114,3366,2161,64,"Fitzroy, Australia",Hares & Hyenas,Hares_Hyenas,9230,,http://www.hares-hyenas.com.au,false
"-73.56725453,45.75975883",Tue Jul 07 05:57:33 +0000 2020,,,http://dlvr.it/Rb5lTn,0,1280380413966311427,,,,en,"Mascouche, Québec",false,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Fighting Stigma: Coronavirus: No Deaths Reported, Four New Cases Confirmed: The Department of Health has reported no new deaths from coronavirus in the last 24 hours. The death toll from the virus in Ireland remains at 1,741. https://t.co/ySxtcKrkQX",https://twitter.com/pairsonnalitesN/status/1280380413966311427,Wed Sep 15 15:55:47 +0000 2010,pairsonnalitesN,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1484,1328,108,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,pairsonnalitesN,787710,,https://edu.stigmabase.org/,false
"1.16614206,52.05930097",Tue Jul 07 06:06:32 +0000 2020,therapy hypnotherapist international,,https://www.instagram.com/p/CCVIfgPn0NO/?igshid=qv1nkpaj2fg6,0,1280382675451367424,,,,en,"Ipswich, England",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Coming out of lockdown? Manage your anxiety depression and insomnia.

Graham Howes - international and national Hypnotist online Skype grahamhowes1 +44 (0) 7875720623

#therapy #hypnotherapist #international… https://t.co/kpESIonh9y",https://twitter.com/grammyhowes/status/1280382675451367424,Sun Jun 13 16:09:02 +0000 2010,grammyhowes,false,Hypnotherapist & NLP - Hypnotherapy in Ipswich. Actor writer teacher director - co-wrote COME DANCE WITH ME which tours September October 2019,1653,581,600,127,Ipswich Suffolk IP4 2PH,Graham Howes,grammyhowes,27697,,http://hypnotherapyinsuffolk.co.uk/hypnotherapy-in-ipswich/,false
"-2.09337,57.148",Tue Jul 07 06:35:49 +0000 2020,,,https://www.instagram.com/p/CCVL12Pn1Yu/?igshid=p8j2wpdyxxdp,1,1280390044876967936,,,,en,"Aberdeen, Scotland",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","6.6.20 Family lockdown walk. Photo 25 - The Mercat Cross Plaque in Castlegate Aberdeen.

The golden postbox is a tribute to Olympic gold medal winner in women's double sculls, Katherine Grainger. The arched windows… https://t.co/CUAnVvve9c",https://twitter.com/73ackers/status/1280390044876967936,Thu Aug 23 20:36:16 +0000 2012,73ackers,false,"Key worker, NHS, doctor, self isolation & relocation serviced accommodation and luxury self catering holiday homes in Aberdeen & South Shields.",38,27,125,0,Aberdeen & South Shields,dwellcomehome,73ackers,181,,http://www.dwellcomehome.com,false
"-6.24327711,53.36001999",Tue Jul 07 05:02:33 +0000 2020,,,http://dlvr.it/Rb5dGz,0,1280366570053591040,,,,en,"Dublin City, Ireland",false,1,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","IE | Desk — TG4 on the sixth most-watched channel for the first time: At least 2,295 people have died in Ireland since the start of the pandemic, 1,741 people south of the border and 554 north of... Read more ... View article... https://t.co/IpK1dsCcU3",https://twitter.com/pairsonnalitesN/status/1280366570053591040,Wed Sep 15 15:55:47 +0000 2010,pairsonnalitesN,false,Ireland — Scotland — Inuit —  Svenska  | Keeping up-to-date on global exclusion — Stigmabase is a canadian internet non-profit Initiative,0,1484,1328,108,Ireland | Scotland | Inuit | Skandinavien,Stigmabase | NORDIC,pairsonnalitesN,787710,,https://edu.stigmabase.org/,false
"-97.5019,25.9049",Tue Jul 07 05:04:15 +0000 2020,,,https://www.instagram.com/p/CCVBXPAnupf/?igshid=8yb73qjc0hg8,0,1280367001811156993,,,,en,"Brownsville, TX",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Hospitals in the Rio Grande Valley sounded the alarm Saturday as their beds filled to capacity with COVID-19 patients and some began transferring patients elsewhere.

Ten of 12 hospitals in Hidalgo, Cameron and Starr… https://t.co/WaBcjS7j9y",https://twitter.com/956News/status/1280367001811156993,Mon Jan 20 05:48:10 +0000 2020,956News,false,,0,1,2,0,,956 News,956News,45,,,false
"27.8635755,-32.9911514",Tue Jul 07 04:50:48 +0000 2020,,,https://www.instagram.com/p/CCU_0k4nBWr/?igshid=3u4l1t7f2t4q,0,1280363613539241987,,,,en,"East London, South Africa",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","🚘 Nates Car Sales 🚘

Coronavirus Updates And Information ⚠️😷⚠️😷⚠️

 *205 721* Confirmed Cases In South Africa, As Of 06th July
 😱😷😱😷😱

*38 081* Confirmed Cases In EC

We Can Fight This Together 🙏❤️😷

Stay Home… https://t.co/Vb6Y6efJF9",https://twitter.com/NatesCarSales/status/1280363613539241987,Mon Mar 02 09:35:50 +0000 2015,NatesCarSales,false,"Over 200 Vehicles to choose from! 🚗🏎 FROM Cheapies, Taxi's, Quantums, LWB Bakkies, Sport Vehicles, Family Vehicles, Double Cabs and More.",10,135,515,0,East London - Amalinda,Nates Car Sales,NatesCarSales,2231,,http://www.natescarsales.co.za,false
"-97.73549055,30.26585335",Tue Jul 07 04:31:32 +0000 2020,atx austin all512,,http://subscribe.all512.com http://dlvr.it/Rb5ZVx,0,1280358765959602181,,,,en,"Austin, TX",false,0,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","https://t.co/q1bIRBjDj8 From Texas Standard : Aubrey Matson, a 19-year-old college student, doesn't consider herself ""anti-vaccine."" But the pandemic hasn’t made her 100% in favor https://t.co/SuUhfa4o1z #atx #austin #all512",https://twitter.com/all512tv/status/1280358765959602181,Fri Jan 27 22:52:58 +0000 2017,all512tv,false,"Providing the ATX with the best local podcast & press coverage for local artist, brands, and events! Live From The ATX stayed tuned for releases.",615,493,27,1,"Austin, TX",Austin Live & Local,all512tv,5234,,http://www.all512.com,false
"7.5103,6.4527",Tue Jul 07 05:27:11 +0000 2020,,,https://www.instagram.com/p/CCVD_OAlQN5/?igshid=7vzaeyb54dc9,2,1280372771273441281,,,,en,"Enugu, Nigeria",false,0,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",I have been so engrossed in my work having just recovered from a deep recession as a result of the covid-19 pandemic that I forgot to celebrate an iconic figure in one of the finest man I have come to admire; my lil… https://t.co/QlxtcXjDhm,https://twitter.com/iamadesegun/status/1280372771273441281,Tue Jul 26 20:46:16 +0000 2011,iamadesegun,false,"Yo Daddy. Bop Daddy. Area Father. Sense Teacher.
We teach what you failed to learn from home. LEARN...UNLEARN...RELEARN",630,361,781,2,Lagos,Aletile Adesegun,iamadesegun,1448,,http://www.facebook.com/segun.adesegun,false
